elof_vals	prophi_vals	logprob	prob
0	2	-102.885972872987	2.07582011500604e-45
0.25	2	-103.490122367414	1.1345167817391e-45
0.5	2	-104.03846436167	6.55645405264842e-46
0.75	2	-104.34559060578	4.8226504939981e-46
1	2	-104.100594176733	6.16149905480534e-46
1.25	2	-104.515778459497	4.06793629579125e-46
1.5	2	-103.986378862621	6.90700017266011e-46
1.75	2	-103.542300840479	1.0768373272135e-45
2	2	-103.987068278397	6.90224001883014e-46
2.25	2	-104.084328600816	6.26253889337457e-46
2.5	2	-104.282682797394	5.135778714784e-46
2.75	2	-103.768643014153	8.58718747242376e-46
3	2	-104.040156833187	6.54536682596389e-46
3.25	2	-104.521263157144	4.04568596909668e-46
3.5	2	-104.635159502306	3.61016968508957e-46
3.75	2	-104.399186759638	4.57097951619767e-46
4	2	-104.027139316456	6.63112823737325e-46
4.25	2	-104.161014319245	5.80024384251393e-46
4.5	2	-103.773313629029	8.54717354444008e-46
4.75	2	-102.799646515258	2.26298031837354e-45
5	2	-103.620759073348	9.95579908867686e-46
5.25	2	-103.305659643562	1.36433828904787e-45
5.5	2	-103.596569225564	1.01995647943774e-45
5.75	2	-103.450978371879	1.17980693755861e-45
6	2	-103.775855160995	8.52547821102733e-46
6.25	2	-104.094408673772	6.19972913971633e-46
6.5	2	-104.605285108093	3.71964848162527e-46
6.75	2	-102.996981899724	1.85771508754408e-45
7	2	-103.71463842425	9.06368575430475e-46
7.25	2	-103.59362545243	1.02296342362887e-45
7.5	2	-104.879258328281	2.82824378809612e-46
7.75	2	-104.146702364652	5.88385355103574e-46
8	2	-103.800843291831	8.31508209648432e-46
8.25	2	-104.197850537278	5.59047211377617e-46
8.5	2	-103.26954069852	1.41451750377125e-45
8.75	2	-103.583433652295	1.03344257237507e-45
9	2	-104.096632099648	6.18595981472997e-46
9.25	2	-104.062665008648	6.39968819135451e-46
9.5	2	-103.323468903146	1.34025551897439e-45
9.75	2	-102.068851612626	4.69960081488653e-45
10	2	-103.648825659874	9.68025861979512e-46
10.25	2	-104.295416447212	5.07079611795561e-46
10.5	2	-104.156731444612	5.82513883273694e-46
10.75	2	-103.672080180421	9.45774608527443e-46
11	2	-102.950059285496	1.94696139691452e-45
11.25	2	-103.105622799021	1.6664679484226e-45
11.5	2	-103.884719027233	7.64609645657509e-46
11.75	2	-103.420484572993	1.21633788602014e-45
12	2	-104.599271355175	3.74208492452992e-46
12.25	2	-102.475227727802	3.13021426327799e-45
