gene_id	mutation_category	events_n	dist	probability
A2ML1	missense	4	800.4	0.3007466992533008
A2ML1	nonsense	0	nan	nan
A2M	missense	3	127.8	0.013124986875013121
A2M	nonsense	0	nan	nan
AADAT	missense	3	403.3	0.6044193955806045
AADAT	nonsense	0	nan	nan
AAGAB	missense	2	nan,nan,nan	nan
AAGAB	nonsense	0	nan,nan,nan	nan
AARS2	missense	2	229.0	0.15194684805315195
AARS2	nonsense	0	nan	nan
AARS	missense	2	828.0	0.4929465070534931
AARS	nonsense	0	nan	nan
AATF	missense	2	145.0	0.5170724829275171
AATF	nonsense	0	nan	nan
AATK	missense	4	1488.1	0.8565161434838564
AATK	nonsense	0	nan	nan
ABAT	missense	4	410.2,nan	0.5894404105595894
ABAT	nonsense	0	nan,nan	nan
ABCA10	missense	2	2288.0	0.7524732475267524
ABCA10	nonsense	0	nan	nan
ABCA13	missense	11	4194.1	0.901981098018902
ABCA13	nonsense	0	nan	nan
ABCA1	missense	6	1404.8	0.3679056320943679
ABCA1	nonsense	0	nan	nan
ABCA2	missense	10	1882.9,nan	0.753997246002754
ABCA2	nonsense	0	nan,nan	nan
ABCA3	missense	7	1195.1	0.5587594412405588
ABCA3	nonsense	0	nan	nan
ABCA4	missense	3	3129.5	0.907081092918907
ABCA4	nonsense	0	nan	nan
ABCA5	missense	4	1599.1	0.7683092316907683
ABCA5	nonsense	0	nan	nan
ABCA7	missense	8	1147.5,nan	0.16976883023116987
ABCA7	nonsense	0	nan,nan	nan
ABCA8	missense	8	976.1,nan	0.30377569622430417
ABCA8	nonsense	0	nan,nan	nan
ABCA9	missense	4	1754.6	0.858082141917858
ABCA9	nonsense	0	nan	nan
ABCB1	missense	2	1733.0	0.7027692972307028
ABCB1	nonsense	0	nan	nan
ABCB5	missense	3	171.9	0.030922969077030932
ABCB5	nonsense	0	nan	nan
ABCB7	missense	3	90.4	0.023331976668023332
ABCB7	nonsense	0	nan	nan
ABCB8	missense	5	614.3	0.6875813124186876
ABCB8	nonsense	0	nan	nan
ABCB9	missense	3	1181.9	0.9628070371929628
ABCB9	nonsense	0	nan	nan
ABCC10	missense	2	945.0	0.3905806094193906
ABCC10	nonsense	0	nan	nan
ABCC11	missense	5	1289.7,nan,nan	0.7932032067967932
ABCC11	nonsense	0	nan,nan,nan	nan
ABCC12	missense	6	1085.1	0.6557073442926556
ABCC12	nonsense	0	nan	nan
ABCC1	missense	5	756.1	0.19381280618719376
ABCC1	nonsense	0	nan	nan
ABCC2	missense	5	685.8	0.14146585853414143
ABCC2	nonsense	0	nan	nan
ABCC3	missense	4	1248.7	0.5335084664915336
ABCC3	nonsense	0	nan	nan
ABCC4	missense	4	1335.8	0.8074041925958074
ABCC4	nonsense	0	nan	nan
ABCC5	missense	3	1547.2	0.7359052640947359
ABCC5	nonsense	0	nan	nan
ABCC6	missense	4	1447.9	0.7555862444137555
ABCC6	nonsense	0	nan	nan
ABCC8	missense	5	1654.0	0.9053580946419053
ABCC8	nonsense	0	nan	nan
ABCC9	missense	9	747.5,nan	0.07590692409307594
ABCC9	nonsense	0	nan,nan	nan
ABCD2	missense	2	296.0	0.24958775041224945
ABCD2	nonsense	0	nan	nan
ABCD3	missense	2	815.0	0.6266633733366266
ABCD3	nonsense	0	nan	nan
ABCD4	missense	2	437.0	0.49287850712149284
ABCD4	nonsense	0	nan	nan
ABCF1	missense	4	117.8	0.009688990311009693
ABCF1	nonsense	0	nan	nan
ABCF3	missense	3	670.8	0.606815393184607
ABCF3	nonsense	0	nan	nan
ABCG2	missense	3	407.3	0.36571363428636583
ABCG2	nonsense	0	nan	nan
ABCG4	missense	2	204.0,nan,nan	0.19735080264919733
ABCG4	nonsense	0	nan,nan,nan	nan
ABCG5	missense	2	569.0	0.5222234777765224
ABCG5	nonsense	0	nan	nan
ABCG8	missense	3	415.7	0.40114259885740117
ABCG8	nonsense	0	nan	nan
ABHD12B	missense	2	151.0	0.25466874533125466
ABHD12B	nonsense	0	nan	nan
ABHD12	missense	3	290.9	0.44910355089644893
ABHD12	nonsense	0	nan	nan
ABHD16A	missense	8	495.4	0.907052092947907
ABHD16A	nonsense	0	nan	nan
ABHD16B	missense	4	126.3	0.05522594477405525
ABHD16B	nonsense	0	nan	nan
ABI2	missense	2	37.0	0.05204994795005203
ABI2	nonsense	0	nan	nan
ABI3BP	missense	4	804.8	0.216006783993216
ABI3BP	nonsense	0	nan	nan
ABL1	missense	12	366.8	0.0018289981710018282
ABL1	nonsense	0	nan	nan
ABL2	missense	4	950.9	0.5573734426265575
ABL2	nonsense	0	nan	nan
ABLIM1	missense	2	759.0	0.547075452924547
ABLIM1	nonsense	0	nan	nan
ABLIM2	missense	5	407.2	0.5741474258525742
ABLIM2	nonsense	0	nan	nan
ABRAXAS2	missense	2	48.0	0.08008191991808011
ABRAXAS2	nonsense	0	nan	nan
ABR	missense	3	908.1	0.6994913005086995
