gene_id	mutation_category	events_n	dist	probability
A2ML1	missense	4	800.4	0.30066069933930073
A2M	missense	3	127.8	0.013207986792013212
A4GALT	missense	2	246.0,nan,nan	0.42055557944442057
AACS	missense	2	1891.0	0.9943240056759943
AADAT	missense	3	403.3	0.6052473947526051
AAGAB	missense	2	456.0	0.7075842924157076
AARS2	missense	2	229.0	0.15228884771115225
AARS	missense	2	828.0	0.4919915080084921
AATF	missense	2	145.0	0.16333983666016333
AATK	missense	4	1488.1	0.8566401433598566
ABAT	missense	4	410.2,nan	0.5893284106715893
ABCA10	missense	2	2288.0	0.7524412475587525
ABCA12	missense	5	2126.2	0.6733353266646733
ABCA13	missense	12	3848.6	0.7484072515927485
ABCA1	missense	6	1404.8	0.36809263190736813
ABCA2	missense	10	1882.9,nan	0.7533522466477534
ABCA3	missense	7	1262.7	0.5898004101995901
ABCA4	missense	3	3129.5	0.9075310924689075
ABCA5	missense	4	1599.1	0.7676492323507678
ABCA6	missense	5	1511.4	0.8179381820618179
ABCA7	missense	8	1147.5,nan	0.16983583016416987
ABCA8	missense	8	976.1,nan	0.3035406964593035
ABCA9	missense	4	1716.3	0.8598811401188599
ABCB11	missense	5	1418.3	0.9363400636599364
ABCB1	missense	2	1733.0	0.7042832957167043
ABCB5	missense	4	723.6	0.32292867707132283
ABCB7	missense	3	90.4	0.023685976314023683
ABCB8	missense	5	614.3	0.6875153124846876
ABCB9	missense	3	1181.9	0.9626320373679627
ABCC10	missense	2	945.0	0.3915516084483915
ABCC11	missense	5	1289.7,nan,nan	0.7928732071267929
ABCC12	missense	6	1085.1	0.6558743441256559
ABCC1	missense	5	756.1	0.19250380749619253
ABCC2	missense	5	685.8	0.14120685879314124
ABCC3	missense	4	1248.7	0.5335904664095337
ABCC4	missense	4	1335.8	0.8076941923058079
ABCC5	missense	3	1547.2	0.7364962635037365
ABCC6	missense	4	1447.9	0.7573972426027573
ABCC8	missense	5	1654.0	0.9057730942269058
ABCC9	missense	9	747.5,nan	0.07635692364307636
ABCD2	missense	2	296.0	0.24889375110624884
ABCD3	missense	2	815.0	0.626858373141627
ABCD4	missense	2	437.0	0.49283550716449287
ABCF1	missense	4	117.8	0.009733990266009733
ABCF3	missense	3	670.8	0.6059883940116059
ABCG2	missense	3	407.3	0.36552763447236547
ABCG4	missense	2	204.0,nan	0.19747880252119748
ABCG5	missense	2	569.0	0.5226304773695225
ABCG8	missense	3	415.7	0.40080159919840097
ABHD12B	missense	2	nan,nan	nan
ABHD12	missense	3	290.9	0.44884455115544886
ABHD16A	missense	8	495.4	0.9074650925349075
ABHD16B	missense	4	127.3	0.05577094422905577
ABI2	missense	2	37.0	0.0522079477920522
ABI3BP	missense	4	804.8	0.21577878422121574
ABL1	missense	12	366.8	0.0017389982610017374
ABL2	missense	4	950.9	0.5578734421265579
ABLIM1	missense	3	464.5	0.35866264133735865
ABLIM2	missense	5	436.6	0.5687084312915687
ABRAXAS2	missense	2	48.0	0.0798089201910798
ABR	missense	3	908.1	0.7004732995267005
AC005003.1	missense	2	249.0	0.8342981657018343
AC079354.1	missense	2	938.0	0.7844562155437844
ACACA	missense	3	2056.7	0.5819194180805818
ACACB	missense	2	4249.0,nan	0.8230371769628231
ACAD10	missense	3	628.0	0.31950368049631933
ACADSB	missense	3	482.6	0.7438592561407439
ACAN	missense	2	756.0,nan	0.19361880638119364
ACAP1	missense	3	616.2	0.5191404808595195
ACCSL	missense	2	891.0	0.7323032676967323
ACD	missense	3	626.1	0.778972221027779
ACE	missense	6	1275.1	0.7374652625347373
ACHE	missense	2	555.0	0.5107114892885107
ACIN1	missense	4	1299.4	0.6986373013626985
ACKR1	missense	2	167.0	0.29877370122629876
ACLY	missense	3	1085.3,nan	0.6847953152046848
ACO1	missense	2	1717.0,nan	0.8621241378758622
ACOT11	missense	3	359.0,nan	0.3541506458493541
ACOT12	missense	3	102.3	0.39614660385339623
ACOT7	missense	2	93.0	0.16230583769416213
ACOX1	missense	2	0.0,nan	0.0020619979380020617
ACOX2	missense	3	395.9	0.34223965776034226
ACOX3	missense	2	387.0,nan	0.33865766134233855
ACP4	missense	3	301.7	0.4677125322874679
ACRBP	missense	3	247.8	0.22474977525022477
ACSF2	missense	2	510.0	0.4596135403864594
ACSL3	missense	2	104.0,nan	0.09621790378209623
ACSL4	missense	2	954.0,nan	0.6962153037846961
ACSS1	missense	2	1053.0	0.7310602689397312
ACSS2	missense	3	296.8	0.19230880769119224
ACSS3	missense	2	1623.0	0.9406580593419407
ACTA1	missense	7	335.7	0.8716831283168716
ACTA2	missense	3	183.7,nan	0.26625573374426625
ACTC1	missense	3	229.2	0.35744264255735747
ACTG2	missense	3	381.2,nan	0.7030172969827029
ACTL6A	missense	2	0.0	0.0028769971230028766
ACTL6B	missense	6	38.3	0.00010699989300010702
ACTL7A	missense	2	617.0	0.7273992726007275
ACTN1	missense	4	753.9	0.5705394294605708
ACTN2	missense	4	519.4,nan	0.33239766760233236
ACTN3	missense	5	350.5	0.09024990975009023
ACTN4	missense	3	213.7	0.07597792402207598
ACTR1A	missense	3	481.8	0.8746301253698746
ACTR3B	missense	2	14.0	0.026779973220026763
ADAD2	missense	3	588.6	0.5915984084015915
ADAM20	missense	3	43.4	0.005391994608005391
ADAM22	missense	2	489.0	0.32225167774832175
ADAM23	missense	2	1289.0,nan,nan	0.7274252725747274
ADAM33	missense	2	nan	nan
ADAM7	missense	2	748.0	0.538997461002539
ADAM8	missense	3	827.8	0.698947301052699
ADAMTS10	missense	7	648.2,nan	0.2630907369092631
ADAMTS12	missense	4	1352.2	0.6973263026736973
ADAMTS13	missense	8	581.7,nan	0.06412493587506413
ADAMTS15	missense	2	163.0	0.11753388246611751
ADAMTS16	missense	2	1494.0	0.6266703733296266
ADAMTS17	missense	7	768.4	0.4356805643194356
ADAMTS18	missense	6	1020.3	0.7002532997467003
ADAMTS19	missense	3	493.2	0.19889780110219887
ADAMTS20	missense	5	790.7	0.22675277324722676
ADAMTS2	missense	3	502.0	0.1978068021931978
ADAMTS3	missense	2	2344.0	0.8754521245478755
ADAMTS5	missense	2	129.0	0.10027189972810036
ADAMTS6	missense	5	1266.2	0.974000025999974
ADAMTS8	missense	3	181.5	0.06621493378506621
ADAMTS9	missense	5	1652.7	0.6802143197856803
ADAMTSL1	missense	8	1447.6	0.8195781804218196
ADAMTSL2	missense	3	411.5	0.1845178154821845
ADAMTSL3	missense	4	1429.7	0.6315743684256315
ADAMTSL4	missense	5	481.2	0.1461108538891461
ADAMTSL5	missense	2	541.0	0.6115953884046117
ADAP1	missense	4	122.0	0.08720891279108724
ADAP2	missense	3	240.7	0.33447566552433444
ADARB1	missense	3	711.5,nan	0.6445563554436445
ADARB2	missense	3	1153.5	0.983969016030984
ADAR	missense	5	1058.0	0.6591693408306591
ADAT1	missense	2	854.0	0.8239191760808239
ADCK2	missense	2	1463.0	0.9426270573729426
ADCK5	missense	4	253.6	0.19253580746419255
ADCY10	missense	6	779.2	0.15767784232215767
ADCY1	missense	3	864.7	0.48111751888248133
ADCY2	missense	6	776.8	0.45962054037945954
ADCY4	missense	2	121.0,nan,nan	0.07833992166007837
ADCY5	missense	12	118.9	1.1111110493827192e-07
ADCY6	missense	3	590.2	0.2742727257272743
ADCY7	missense	4	316.8,nan	0.07587692412307588
ADCY8	missense	6	939.0	0.5503414496585503
ADCY9	missense	4	990.9	0.4836635163364835
ADD1	missense	3	392.4	0.28063871936128065
ADGB	missense	4	200.9	0.006341993658006342
ADGRA2	missense	6	993.3	0.5029504970495029
ADGRA3	missense	6	923.5,nan	0.43190856809143197
ADGRB1	missense	5	911.0,nan	0.26347873652126347
ADGRD1	missense	2	110.0	0.08103891896108102
ADGRE2	missense	2	558.0	0.39841660158339837
ADGRE5	missense	2	383.0	0.281005718994281
ADGRF2	missense	3	613.4	0.5686074313925686
ADGRG1	missense	4	249.5,nan,nan,nan,nan	0.10967689032310965
ADGRG6	missense	4	795.0	0.373995626004374
ADGRL1	missense	3	1201.7	0.5167374832625168
ADGRL2	missense	2	1355.0,nan	0.5136734863265138
ADGRL3	missense	4	850.8	0.25587674412325584
ADGRL4	missense	2	1229.0	0.8183031816968184
