gene_id	ensembl_gene_id	ensembl_gene_version	symbol	hgnc_id
ENSG00000185220.12	ENSG00000185220	12	PGBD2	HGNC:19399
ENSG00000171163.16	ENSG00000171163	16	ZNF692	HGNC:26049
ENSG00000171161.13	ENSG00000171161	13	ZNF672	HGNC:26179
ENSG00000175137.11	ENSG00000175137	11	SH3BP5L	HGNC:29360
ENSG00000259823.6	ENSG00000259823	6	LYPD8	HGNC:44208
ENSG00000187701.5	ENSG00000187701	5	OR2T27	HGNC:31252
ENSG00000177151.5	ENSG00000177151	5	OR2T35	HGNC:31257
ENSG00000279301.5	ENSG00000279301	5	OR2T11	HGNC:19574
ENSG00000184022.4	ENSG00000184022	4	OR2T10	HGNC:19573
ENSG00000183310.3	ENSG00000183310	3	OR2T34	HGNC:31256
ENSG00000182783.6	ENSG00000182783	6	OR2T29	HGNC:31253
ENSG00000188558.7	ENSG00000188558	7	OR2G6	HGNC:27019
ENSG00000203661.4	ENSG00000203661	4	OR2T5	HGNC:15017
ENSG00000196539.3	ENSG00000196539	3	OR2T3	HGNC:14727
ENSG00000196240.6	ENSG00000196240	6	OR2T2	HGNC:14725
ENSG00000175143.5	ENSG00000175143	5	OR2T1	HGNC:8277
ENSG00000198104.4	ENSG00000198104	4	OR2T6	HGNC:15018
ENSG00000196944.5	ENSG00000196944	5	OR2T4	HGNC:15016
ENSG00000177174.1	ENSG00000177174	1	OR14C36	HGNC:15026
ENSG00000177186.3	ENSG00000177186	3	OR2M7	HGNC:19594
ENSG00000177201.3	ENSG00000177201	3	OR2T12	HGNC:19592
ENSG00000177212.4	ENSG00000177212	4	OR2T33	HGNC:31255
ENSG00000171180.3	ENSG00000171180	3	OR2M4	HGNC:8270
ENSG00000228198.3	ENSG00000228198	3	OR2M3	HGNC:8269
ENSG00000198601.4	ENSG00000198601	4	OR2M2	HGNC:8268
ENSG00000162727.3	ENSG00000162727	3	OR2M5	HGNC:19576
ENSG00000196071.6	ENSG00000196071	6	OR2L13	HGNC:19578
ENSG00000198128.4	ENSG00000198128	4	OR2L3	HGNC:15009
ENSG00000203663.4	ENSG00000203663	4	OR2L2	HGNC:8266
ENSG00000197454.2	ENSG00000197454	2	OR2L5	HGNC:15011
ENSG00000187080.10	ENSG00000187080	10	OR2AK2	HGNC:19569
ENSG00000279263.1	ENSG00000279263	1	OR2L8	HGNC:15014
ENSG00000177275.4	ENSG00000177275	4	OR2AJ1	HGNC:15001
ENSG00000177462.9	ENSG00000177462	9	OR2T8	HGNC:15020
ENSG00000238243.3	ENSG00000238243	3	OR2W3	HGNC:15021
ENSG00000162722.9	ENSG00000162722	9	TRIM58	HGNC:24150
ENSG00000197591.3	ENSG00000197591	3	OR11L1	HGNC:14998
ENSG00000196772.5	ENSG00000196772	5	OR14A16	HGNC:15022
ENSG00000221888.4	ENSG00000221888	4	OR1C1	HGNC:8182
ENSG00000153230.4	ENSG00000153230	4	OR14K1	HGNC:15025
ENSG00000169214.5	ENSG00000169214	5	OR6F1	HGNC:15027
ENSG00000197437.5	ENSG00000197437	5	OR13G1	HGNC:14999
ENSG00000198452.8	ENSG00000198452	8	OR14L1P	HGNC:15023
ENSG00000177476.3	ENSG00000177476	3	OR2G3	HGNC:15008
ENSG00000177489.1	ENSG00000177489	1	OR2G2	HGNC:15007
ENSG00000169224.13	ENSG00000169224	13	GCSAML	HGNC:29583
ENSG00000196242.10	ENSG00000196242	10	OR2C3	HGNC:15005
ENSG00000177535.10	ENSG00000177535	10	OR2B11	HGNC:31249
ENSG00000162711.18	ENSG00000162711	18	NLRP3	HGNC:16400
ENSG00000162714.13	ENSG00000162714	13	ZNF496	HGNC:23713
ENSG00000196418.13	ENSG00000196418	13	ZNF124	HGNC:12907
