ensembl_transcript_enst	ensembl_transcript_version	hgnc_symbol	obs_missense	exp_missense	overall_chisq	n_regions	ensembl_gene_id
ENST00000000233	5	ARF5	28	72.9535124295	27.7000820447	3	ENSG00000004059
ENST00000000412	3	M6PR	77	90.5234317196	2.02028581994	1	ENSG00000003056
ENST00000001008	4	FKBP4	129	156.459584798	4.81931994301	1	ENSG00000004478
ENST00000001146	2	CYP26B1	174	239.290708368	17.8146348778	2	ENSG00000003137
ENST00000002125	4	NDUFAF7	182	140.93710523	11.9639276268	1	ENSG00000003509
ENST00000002165	6	FUCA2	138	141.161300268	0.0707971616006	1	ENSG00000001036
ENST00000002596	5	HS3ST1	119	160.223787728	10.6064193008	1	ENSG00000002587
ENST00000002829	3	SEMA3F	273	379.880627127	30.0712056352	3	ENSG00000001617
ENST00000003084	6	CFTR	671	418.882477646	151.744817389	1	ENSG00000001626
ENST00000003100	8	CYP51A1	153	157.898601426	0.151972821239	1	ENSG00000001630
ENST00000003302	4	USP28	313	319.202785866	0.120533260364	1	ENSG00000048028
ENST00000004531	10	SLC7A2	314	238.863506672	23.6348059541	1	ENSG00000003989
ENST00000004921	3	CCL18	33	28.8044610525	0.611104891982	1	ENSG00000275385
ENST00000004980	5	SENP1	134	170.880738192	7.95987227083	2	ENSG00000079387
ENST00000005178	5	PDK4	146	133.24158731	1.2216688321	1	ENSG00000004799
ENST00000005226	7	USH1C	389	337.451739515	7.87437979369	1	ENSG00000006611
ENST00000005257	2	RALA	16	60.686619483	32.9050123047	1	ENSG00000006451
ENST00000005260	8	BAIAP2L1	182	189.513264928	0.297863845558	1	ENSG00000006453
ENST00000005284	3	CACNG3	58	132.13585799	41.5945037439	1	ENSG00000006116
ENST00000005286	4	TMEM132A	395	444.367169513	5.4844677846	1	ENSG00000006118
ENST00000005340	5	DVL2	296	313.429940391	0.969284624382	1	ENSG00000004975
ENST00000005386	3	RPAP3	206	178.762053911	4.15024156917	1	ENSG00000005175
ENST00000005995	3	PRSS21	138	102.422278733	12.3583879037	1	ENSG00000007038
ENST00000006015	3	HOXA11	85	182.343665225	51.9666485137	1	ENSG00000005073
ENST00000006053	6	CX3CL1	145	168.742575338	3.34064999631	1	ENSG00000006210
ENST00000006101	4	COPZ2	60	51.5461600192	1.38647399525	1	ENSG00000005243
ENST00000006275	4	TRAPPC6A	76	67.5426116884	1.05899690973	1	ENSG00000007255
ENST00000006658	6	SPATA20	315	329.683384697	0.653966187503	1	ENSG00000006282
ENST00000006724	3	CEACAM7	123	89.9729173141	12.1235169794	1	ENSG00000007306
ENST00000006777	6	RHBDD2	117	131.589752478	1.6176098317	1	ENSG00000005486
ENST00000007390	2	TSR3	143	122.942451215	3.27230553215	1	ENSG00000007520
ENST00000007414	3	OSBPL7	257	334.654367863	18.0191906257	1	ENSG00000006025
ENST00000007699	5	YBX2	100	134.412999712	8.81056558313	2	ENSG00000006047
ENST00000007722	7	ITGA3	325	408.66359742	17.1280181976	1	ENSG00000005884
ENST00000007735	3	KRT33A	176	172.98180928	0.0526614634206	1	ENSG00000006059
ENST00000007969	8	LRRC23	117	113.812981791	0.0892436425328	1	ENSG00000010626
ENST00000008391	3	TFAP2D	136	171.087450891	7.19590597458	1	ENSG00000008197
ENST00000008527	5	CRY1	148	189.070373029	8.92141647418	1	ENSG00000008405
ENST00000008938	4	PGLYRP1	77	84.2016806842	0.615952131309	1	ENSG00000008438
ENST00000009041	7	STARD3NL	60	70.9378993758	1.68651234118	1	ENSG00000010270
ENST00000009105	1	CAMK1G	145	161.327641507	1.65248729041	3	ENSG00000008118
ENST00000009530	7	CD74	76	105.582087392	8.2883367445	1	ENSG00000019582
ENST00000010299	6	FAM76A	51	85.535829005	13.9441389525	1	ENSG00000009780
ENST00000011292	3	CPA1	137	169.753522745	6.31971127831	1	ENSG00000091704
ENST00000011473	2	SYPL1	80	75.2679011058	0.29750743166	1	ENSG00000008282
ENST00000011619	3	RANBP9	154	227.752576678	23.8831219652	2	ENSG00000010017
ENST00000011653	4	CD4	138	144.256400215	0.271340083311	1	ENSG00000010610
ENST00000011898	5	TSPAN9	52	74.7093439913	6.90294248303	1	ENSG00000011105
ENST00000012049	5	QPCTL	144	165.900201406	2.89100807327	1	ENSG00000011478
ENST00000012443	4	PPP5C	117	197.848231477	33.0376293191	1	ENSG00000011485
ENST00000013070	6	UBR7	86	116.76402644	8.10545295219	1	ENSG00000012963
ENST00000013125	4	MAP4K5	161	178.264030259	1.67193987676	1	ENSG00000012983
ENST00000013222	5	INMT	104	104.667124756	0.00425210342572	1	ENSG00000241644
ENST00000013807	5	ERCC1	116	113.219906225	0.0682646864646	1	ENSG00000012061
ENST00000014914	5	GPRC5A	164	132.945367453	7.25403390225	1	ENSG00000013588
ENST00000014930	4	HEBP1	81	77.7056164803	0.139667674825	1	ENSG00000013583
ENST00000016171	5	COX15	142	133.149837887	0.588249829441	1	ENSG00000014919
ENST00000016913	4	MS4A12	100	81.6684220361	4.11476972703	1	ENSG00000071203
ENST00000017003	2	XYLT2	264	343.597979081	18.4396843389	1	ENSG00000015532
ENST00000019103	5	SCTR	163	148.989301062	1.31754215464	1	ENSG00000080293
ENST00000019317	4	RALBP1	145	205.057379474	17.5896563123	1	ENSG00000017797
ENST00000020673	5	PSD	319	403.619837662	17.7407457658	3	ENSG00000059915
ENST00000020926	3	SYT13	152	162.713911852	0.705458469215	1	ENSG00000019505
ENST00000023064	4	SLC7A9	172	196.993751966	3.17110380971	1	ENSG00000021488
