"symbol"	"num_hgnc_id"	"chr"	"pos"	"glen"	"prob"	"s_het"
"A1BG"	"5"	"19"	1703	1703	3.97296345186872e-05	0.006794187
"A1CF"	"24086"	"10"	2078	2078	2.75682293654411e-05	0.022312834
"A2M"	"7"	"12"	4985	4985	6.59951748283382e-05	0.013185631
"A2ML1"	"23336"	"12"	5067	5067	6.85900640580569e-05	NA
"A3GALT2"	"30005"	"1"	1119	1119	3.06348439031225e-05	0.000901752
"A4GALT"	"18149"	"22"	1062	1062	2.52854838210734e-05	0.009713007
"A4GNT"	"17968"	"3"	1039	1039	1.41356747771527e-05	NA
"AAAS"	"13666"	"12"	1882	1882	2.72482644181761e-05	0.004438068
"AACS"	"21298"	"12"	2415	2415	4.17000071597501e-05	0.003357221
"AADAC"	"17"	"3"	1276	1276	1.60024484564174e-05	0.004557773
"AADACL2"	"24427"	"3"	1270	1270	1.59319809473686e-05	0.003716506
"AADACL3"	"32037"	"1"	1097	1097	1.57254814351511e-05	0.005543978
"AADACL4"	"32038"	"1"	1272	1272	1.95131263462308e-05	0.002407895
"AADAT"	"17929"	"4"	1530	1530	1.90785980149339e-05	0.046167548
"AAED1"	"16881"	"9"	761	761	1.54532201854325e-05	0.000752916
"AAGAB"	"25662"	"15"	1092	1092	1.33347478717577e-05	0.015710662
"AAK1"	"19679"	"2"	3378	3378	4.59346584166486e-05	0.129038335
"AAMDC"	"30205"	"11"	986	986	1.12758105972799e-05	0.002937019
"AAMP"	"18"	"2"	1531	1531	2.42313359996272e-05	0.045235714
"AANAT"	"19"	"17"	846	846	1.69522274632238e-05	0.006479318
"AAR2"	"15886"	"20"	1405	1405	2.10833112888212e-05	0.004079859
"AARD"	"33842"	"8"	484	484	1.24382525325962e-05	0.004804911
"AARS"	"20"	"16"	3211	3211	4.9378422312255e-05	0.02017962
"AARS2"	"21022"	"6"	3294	3294	5.59734013295445e-05	0.01757479
"AARSD1"	"28417"	"17"	2064	2064	3.13179713752661e-05	0.001337456
"AASDH"	"23993"	"4"	3543	3543	4.09366893793882e-05	0.017382735
"AASDHPPT"	"14235"	"11"	1010	1010	1.48009126719181e-05	0.061675049
"AASS"	"17366"	"7"	3133	3133	3.92352066328366e-05	0.011528158
"AATF"	"19235"	"17"	1863	1863	2.63760545636952e-05	0.008867597
"AATK"	"21"	"17"	4407	4407	0.000107634378745962	NA
"ABAT"	"23"	"16"	1904	1904	3.16744268626977e-05	0.024801952
"ABCA1"	"29"	"9"	7943	7943	0.000108709509530777	0.026799861
"ABCA10"	"30"	"17"	5352	5352	6.29996623625541e-05	NA
"ABCA12"	"14637"	"2"	8769	8769	0.000108479545804199	0.020877427
"ABCA13"	"14638"	"7"	16153	16153	0.000196329141407696	NA
"ABCA2"	"32"	"9"	8099	8099	0.000180793567884051	0.105003717
"ABCA3"	"33"	"16"	5596	5596	0.000110900621115188	0.019492204
"ABCA4"	"34"	"1"	7872	7872	0.000119611193872097	0.00754663
"ABCA5"	"35"	"17"	5528	5528	6.04326373355891e-05	0.008746697
"ABCA6"	"36"	"17"	5544	5544	6.40901416902402e-05	0.007232053
"ABCA7"	"37"	"19"	7249	7249	0.000153241275009929	NA
"ABCA8"	"38"	"17"	5458	5458	6.81003316348042e-05	NA
"ABCA9"	"39"	"17"	5471	5471	6.67037933152638e-05	NA
"ABCB1"	"40"	"7"	4259	4259	5.40374323922626e-05	0.031157531
"ABCB10"	"41"	"1"	2409	2409	4.63973448051117e-05	0.014464135
"ABCB11"	"42"	"2"	4382	4382	5.61566920298708e-05	0.012776527
"ABCB4"	"45"	"7"	4277	4277	5.72677426089841e-05	0.018869719
"ABCB5"	"46"	"7"	4239	4239	5.5363306115904e-05	NA
"ABCB6"	"47"	"2"	2817	2817	5.09718103365985e-05	0.005665751
"ABCB7"	"48"	"X"	2556	2556	3.43844579530348e-05	NA
"ABCB8"	"49"	"7"	2701	2701	5.35105672367184e-05	0.007187821
"ABCB9"	"50"	"12"	2608	2608	5.20236949125195e-05	0.013669495
"ABCC1"	"51"	"16"	5122	5122	9.44675495057167e-05	0.025299632
"ABCC10"	"52"	"6"	5006	5006	8.12792125160156e-05	0.004950327
"ABCC11"	"14639"	"16"	4597	4597	6.9043419420556e-05	NA
"ABCC12"	"14640"	"16"	4554	4554	6.72127577221165e-05	NA
"ABCC2"	"53"	"10"	5149	5149	6.64711927481986e-05	NA
"ABCC3"	"54"	"17"	5358	5358	8.89979810107978e-05	NA
"ABCC4"	"55"	"13"	4520	4520	6.46209931209896e-05	0.020117854
"ABCC5"	"56"	"3"	5048	5048	7.67839984708296e-05	0.042924625
"ABCC6"	"57"	"16"	5073	5073	8.61444131496546e-05	NA
"ABCC8"	"59"	"11"	5359	5359	9.41836596844367e-05	0.009566748
"ABCC9"	"60"	"12"	5555	5555	7.03417582370705e-05	NA
"ABCD1"	"61"	"X"	2540	2540	5.52488909551523e-05	0.209844338
