symbol	dNdS_macaque	CODING_GERP	PROMOTER_GERP	glen	cancer_gene	PPI_DGR	PPI_BTWN	PPI_LLS2HI	median_fetalbrain_rpkm	relevant_go	pLI
A1BG	0.354512635379061	-0.55	-0.84	1703	FALSE	396	6290.1171875	8	1.246059	FALSE	4.9917e-09
A2M	0.366096866096866	1.72	0.65	4985	FALSE	1001	18556.5175781	25	10.362676	FALSE	4.5229e-11
A2ML1	0.457520891364902	1.19	-0.66	5067	FALSE	320	5601.57763672	18	0	FALSE	1.6109e-34
A4GALT	0.170872605655214	1.95	-0.93	1062	FALSE	288	4350.35205078	6	0	FALSE	7.6668e-06
A4GNT	0.437810945273632	1.88	0.77	1039	FALSE	178	2016.08117676	0	0	FALSE	0.16537
AAAS	0.31282722513089	2.82	0.44	1882	FALSE	390	3077.83666992	9	9.184286	FALSE	2.4356e-13
AACS	0.0792563600782779	2.38	-0.58	2415	FALSE	685	12202.2050781	18	3.551006	FALSE	9.1275e-17
AADAC	0.638257575757576	0.38	-0.92	1276	FALSE	419	6323.55419922	3	0	FALSE	0.0029108
AADACL4	0.292954264524104	-0.43	-0.94	1272	FALSE	226	1785.86682129	3	0	FALSE	0.0001543
AADAT	0.745583038869258	2.12	-1.45	1530	FALSE	486	9017.56835938	7	6.331861	FALSE	0.14641
AAED1	0.393939393939394	2.78	-0.54	761	FALSE	161	1519.36242676	1	0	FALSE	1.0063e-07
AAGAB	0.0847826086956522	2.82	-0.12	1092	FALSE	148	1078.20666504	4	6.212686	FALSE	3.8664e-07
AAK1	0.515323496027242	3.51	2.87	3378	FALSE	1152	26613.9921875	32	3.283911	FALSE	1
AAMDC	0	3.5	-1.38	986	FALSE	225	1859.02026367	1	1.438952	TRUE	2.2702e-06
AAMP	0.0187393526405451	3.69	1.35	1531	FALSE	518	9913.8046875	8	24.321012	FALSE	0.76172
AANAT	0.178800232964473	1.52	-0.9	846	FALSE	508	6784.10400391	19	0	FALSE	0.002969
AAR2	0.136255924170616	3.19	-0.68	1405	FALSE	478	3671.30224609	17	13.085212	FALSE	8.3057e-06
AARD	0.941262848751836	0.33	-1.01	484	FALSE	145	1308.57739258	2	0	FALSE	0.3258
AARS	0.198509485094851	3.27	0.54	3211	FALSE	1155	17661.2402344	25	39.743641	FALSE	1.8242e-08
AARS2	0.367670364500792	2.67	1.52	3294	FALSE	1016	12420.8613281	21	4.030639	FALSE	4.9777e-17
AASDHPPT	0.0444444444444444	4.02	-0.13	1010	FALSE	624	6777.25146484	24	26.09769	FALSE	0.033866
AATF	0.279352226720648	3.95	1.81	1863	FALSE	16	3.42862439156	0	17.661191	TRUE	2.5958e-12
AATK	0.209850993377483	0.84	0	4407	FALSE	415	5047.30322266	26	3.652316	TRUE	0.20634
ABAT	NA	3	0.69	1904	FALSE	699	10451.1787109	19	28.678511	TRUE	0.0063216
ABCA1	0.271844660194175	3.17	2.22	7943	FALSE	1304	25339.6914062	60	1.415341	FALSE	1.4525e-13
ABCA10	0.791586998087954	0.31	-0.2	5352	FALSE	302	4785.30078125	11	0	FALSE	7.6593e-34
ABCA12	0.19813829787234	3.29	1.05	8769	FALSE	472	11029.9755859	6	0	FALSE	2.922e-15
ABCA13	0.711111111111111	1.77	0.61	16153	FALSE	604	13738.1708984	19	0	FALSE	8.7753e-114
ABCA2	0.0297202797202797	2.25	0.76	8099	FALSE	635	10561.6533203	28	8.839472	TRUE	1
ABCA3	0.110755441741357	2.05	0.15	5596	FALSE	634	12682.8291016	33	28.373805	FALSE	6.6226e-08
ABCA4	0.135786802030457	3.1	0.05	7872	FALSE	696	15410.6523438	41	0	FALSE	5.3499e-48
ABCA5	0.165521828139126	3.46	-0.78	5528	FALSE	421	7581.09863281	14	0	FALSE	4.7803e-27
ABCA6	0.399082568807339	0.77	1	5544	FALSE	383	6819.85253906	11	0	FALSE	5.1099e-27
ABCA7	0.156452775775054	1.03	-0.83	7249	FALSE	507	9403.64355469	10	0	FALSE	2.1111e-55
ABCA8	0.286912751677852	1.07	-0.13	5458	FALSE	389	5500.44873047	18	0	FALSE	1.609e-52
ABCA9	0.226715397311955	1.71	1.26	5471	FALSE	345	4222.48193359	12	0	FALSE	9.4911e-48
ABCB1	0.393939393939394	2.95	1.69	4259	FALSE	3	0.0879517346621	0	0	FALSE	1.2564e-05
ABCB10	0.279245283018868	1.71	-0.04	2409	FALSE	506	6745.25976562	12	2.83829	FALSE	2.9084e-08
ABCB11	0.277464788732394	3.09	1.5	4382	FALSE	833	12121.2324219	23	0	FALSE	1.5612e-12
ABCB5	0.288824383164006	2.43	-0.13	4239	FALSE	674	8671.2890625	39	0	FALSE	1.5072e-37
ABCB6	0.189808917197452	2.81	0.01	2817	FALSE	606	10727.7509766	18	3.562727	TRUE	8.5999e-19
ABCB7	0.25	3.61	1.05	2556	FALSE	778	19966.4296875	28	6.060086	FALSE	0.99994
ABCB8	0.208333333333333	2.3	1.62	2701	FALSE	377	4043.93676758	10	3.958939	FALSE	1.9164e-15
ABCB9	0.0353790613718412	3.36	-0.07	2608	FALSE	421	5500.4140625	10	2.178889	FALSE	0.00025164
ABCC1	0.104129782729926	2.66	1.06	5122	FALSE	897	13722.1464844	25	3.090006	FALSE	0.0011727
ABCC10	0.253020611229566	2.95	-0.62	5006	FALSE	400	3414.02319336	9	2.464081	FALSE	1.2887e-26
ABCC11	0.476977567886659	0.84	-0.17	4597	FALSE	354	2812.00073242	15	0	FALSE	3.9884e-46
ABCC12	0.396449704142012	2.46	0.71	4554	FALSE	455	4461.85302734	19	0	FALSE	4.5659e-49
ABCC2	0.442231075697211	2.42	0.61	5149	FALSE	918	15458.6640625	28	0	FALSE	5.2025e-47
ABCC3	0.22907949790795	1.68	-1.1	5358	FALSE	694	8590.42675781	20	0	FALSE	1.2092e-26
ABCC4	0.17753120665742	2.41	0.44	4520	FALSE	714	15925.2519531	21	0	FALSE	1.0674e-07
ABCC5	0.0206185567010309	3.41	1.3	5048	FALSE	614	10589.4658203	21	2.604767	FALSE	0.0041518
ABCC6	0.259509721048183	1.44	-0.42	5073	FALSE	644	11435.9316406	26	0	FALSE	5.6167e-35
ABCC8	0.099774943735934	3.56	0.73	5359	FALSE	1351	24933.2753906	78	0	TRUE	7.9571e-24
ABCC9	0.0372250423011844	3.23	1.25	5555	FALSE	654	9988.64941406	32	0	TRUE	9.3524e-09
ABCD1	0.0704960835509138	2.43	2.41	2540	FALSE	509	7228.42089844	13	1.774951	FALSE	0.99896
ABCD2	0.398684210526316	3.26	1.47	2367	FALSE	445	3674.54418945	13	2.354998	FALSE	4.7079e-06
ABCD3	0.226788432267884	4.04	0.98	2455	FALSE	474	4345.62548828	12	9.188452	FALSE	0.0078364
ABCD4	0.179916317991632	3.31	0.31	2136	FALSE	494	6884.57324219	11	2.259315	FALSE	1.3364e-12
ABCE1	0	4.25	0.35	2056	FALSE	1496	45948.6171875	38	6.650368	FALSE	0.9738
ABCF1	0.11542730299667	3.04	0.6	2931	FALSE	981	21203.0996094	26	15.255151	FALSE	1.2823e-09
ABCF2	0.453051643192488	3.79	1.11	2133	FALSE	946	13994.0673828	17	10.455038	FALSE	0.011301
ABCF3	0.153368794326241	3.22	0.86	2450	FALSE	1043	21427.8652344	22	6.67967	FALSE	1.5114e-05
ABCG1	0.0909926470588235	2.55	0.05	3212.66666666667	FALSE	819	34070.3085938	39	1.924263	FALSE	0.11182
ABCG2	0.332	1.89	-1.1	2365	FALSE	1321	29760.3222656	90	2.147057	FALSE	2.0957e-32
